seed,schedule,trainable_indices,cluster_nmse_vs_original,cluster_val_acc,recompiled_nmse_vs_cluster,recompiled_nmse_vs_original,recompiled_val_acc,direct_original_nmse,direct_original_val_acc,excess_original_nmse_vs_direct
1320,all_frozen,,0.17606628198641391,0.9592592716217041,0.011911421085021271,0.17578438457671747,0.9555555582046509,0.050219268938391085,0.9629629850387573,0.1255651156383264
1320,left_only,0,0.10689155045695363,0.9592592716217041,0.026120371427063457,0.10494623314124266,0.9555555582046509,0.050219268938391085,0.9629629850387573,0.05472696420285157
1320,middle_only,1,0.12027390407318461,0.9592592716217041,0.019142521282718452,0.11988691494538682,0.9555555582046509,0.050219268938391085,0.9629629850387573,0.06966764600699574
1320,right_only,2,0.10639574533465325,0.9592592716217041,0.020575330668626858,0.1095468729199609,0.9555555582046509,0.050219268938391085,0.9629629850387573,0.05932760398156982
1320,left_middle,0 1,0.07034511245451315,0.9666666388511658,0.027993995370016126,0.07630259057200642,0.9629629850387573,0.050219268938391085,0.9629629850387573,0.026083321633615333
1320,middle_right,1 2,0.068982379149167,0.9592592716217041,0.022542103631629867,0.07563866793198305,0.9592592716217041,0.050219268938391085,0.9629629850387573,0.02541939899359197
1320,edges_only,0 2,0.06745099242004594,0.9740740656852722,0.02911426822728828,0.07565575196733526,0.9629629850387573,0.050219268938391085,0.9629629850387573,0.025436483028944176
1320,all_unfrozen,0 1 2,0.05445941175313086,0.970370352268219,0.029895208183974557,0.06575180755155607,0.9666666388511658,0.050219268938391085,0.9629629850387573,0.01553253861316499
1321,all_frozen,,0.14095801954410006,0.9296296238899231,0.010305218372660688,0.14158193575847192,0.9296296238899231,0.04343391411721586,0.9592592716217041,0.09814802164125605
1321,left_only,0,0.09266924271161513,0.9481481313705444,0.01860952454363382,0.09299093532653545,0.9555555582046509,0.04343391411721586,0.9592592716217041,0.04955702120931959
1321,middle_only,1,0.08891120626511835,0.9481481313705444,0.015165318243460185,0.09096809053402811,0.9518518447875977,0.04343391411721586,0.9592592716217041,0.047534176416812256
1321,right_only,2,0.08581316787797998,0.9407407641410828,0.016615497152933277,0.08728135700913565,0.9370370507240295,0.04343391411721586,0.9592592716217041,0.043847442891919795
1321,left_middle,0 1,0.055488368671772884,0.9555555582046509,0.021928458027840082,0.06184474399182054,0.9518518447875977,0.04343391411721586,0.9592592716217041,0.018410829874604684
1321,middle_right,1 2,0.0543383899562274,0.9518518447875977,0.020286668410655437,0.060097043808399093,0.9481481313705444,0.04343391411721586,0.9592592716217041,0.016663129691183234
1321,edges_only,0 2,0.052592067002196013,0.9592592716217041,0.023968981168873818,0.05919758390142491,0.9592592716217041,0.04343391411721586,0.9592592716217041,0.015763669784209053
1321,all_unfrozen,0 1 2,0.04368895978489034,0.9629629850387573,0.02478049791420973,0.05583901049196924,0.9555555582046509,0.04343391411721586,0.9592592716217041,0.012405096374753379
1322,all_frozen,,0.18439514508086266,0.9370370507240295,0.012036279352758304,0.1832990180103254,0.9481481313705444,0.04510733419612087,0.9777777791023254,0.13819168381420452
1322,left_only,0,0.1172899785764626,0.970370352268219,0.02413274606515928,0.11093084010873051,0.9740740656852722,0.04510733419612087,0.9777777791023254,0.06582350591260965
1322,middle_only,1,0.11192037864879044,0.970370352268219,0.021617697419499055,0.11387189507298053,0.9740740656852722,0.04510733419612087,0.9777777791023254,0.06876456087685966
1322,right_only,2,0.11252055085099741,0.9592592716217041,0.02589920603741441,0.1117449893804717,0.9666666388511658,0.04510733419612087,0.9777777791023254,0.06663765518435083
1322,left_middle,0 1,0.06937683771338515,0.9740740656852722,0.030318215034080522,0.07162928709460752,0.9740740656852722,0.04510733419612087,0.9777777791023254,0.026521952898486648
1322,middle_right,1 2,0.06360254876101205,0.9888888597488403,0.027904752989878934,0.06888281439730098,0.9814814925193787,0.04510733419612087,0.9777777791023254,0.023775480201180116
1322,edges_only,0 2,0.07143105794170682,0.9740740656852722,0.028059072248933555,0.06952225909275098,0.970370352268219,0.04510733419612087,0.9777777791023254,0.024414924896630108
1322,all_unfrozen,0 1 2,0.05717263836312768,0.970370352268219,0.03393097941267981,0.06338368515258652,0.9592592716217041,0.04510733419612087,0.9777777791023254,0.018276350956465653
