scale_groups,bytes,mean_utility,u_lo,u_hi,pass_rate,n
1,76.0,0.9719758351839829,0.9596613785154207,0.9865075665900419,0.875,8
2,78.0,0.9835258407636744,0.9656161968379899,1.0015246833173148,1.0,8
8,90.0,0.9661983835670231,0.954254418926779,0.9790197170774697,0.75,8
