seed,teacher_val_acc,eligible,teacher_test_acc,frozen_val_nmse,joint_val_nmse,direct_val_nmse,D_joint_minus_frozen,R_joint_over_direct,joint_val_acc,direct_val_acc,val_acc_diff,joint_test_acc,direct_test_acc,test_acc_diff
1350,0.9629629629629629,True,0.9666666666666667,0.20235108162944976,0.18279765142287663,0.17363684967385754,-0.01955343020657313,1.0527583964246405,0.825925925925926,0.8037037037037037,0.022222222222222254,0.8888888888888888,0.9037037037037037,-0.014814814814814836
1351,0.9555555555555556,True,0.9518518518518518,0.3026916523110965,0.2800978805091813,0.2610395716925089,-0.02259377180191524,1.0730092709434953,0.8148148148148148,0.8111111111111111,0.0037037037037036535,0.825925925925926,0.8592592592592593,-0.033333333333333326
1352,0.9592592592592593,True,0.9740740740740741,0.2106923198499638,0.17227886168576653,0.16441003060068707,-0.03841345816419728,1.0478610158779849,0.8074074074074075,0.825925925925926,-0.01851851851851849,0.8333333333333334,0.8407407407407408,-0.007407407407407418
1353,0.9629629629629629,True,0.9777777777777777,0.2266314943366418,0.20713167395171558,0.19647285279594498,-0.019499820384926203,1.054250859617948,0.8555555555555555,0.8740740740740741,-0.0185185185185186,0.8592592592592593,0.8555555555555555,0.0037037037037037646
1354,0.9666666666666667,True,0.9629629629629629,0.2140970711581306,0.19447945334007918,0.18374149208475224,-0.019617617818051408,1.058440590274373,0.825925925925926,0.8481481481481481,-0.022222222222222143,0.8407407407407408,0.8592592592592593,-0.01851851851851849
1355,0.9592592592592593,True,0.9740740740740741,0.303173593483091,0.2751464283243516,0.26034239542034393,-0.028027165158739376,1.0568637039699407,0.7518518518518519,0.7481481481481481,0.0037037037037037646,0.8222222222222222,0.7962962962962963,0.025925925925925908
1356,0.937037037037037,False,,,,,,,,,,,,
1357,0.9666666666666667,True,0.9703703703703703,0.3075010935146131,0.2891080651771844,0.28530993160033435,-0.018393028337428674,1.01331230762121,0.7962962962962963,0.7925925925925926,0.0037037037037036535,0.8222222222222222,0.8518518518518519,-0.029629629629629672
1358,0.9407407407407408,False,,,,,,,,,,,,
1359,0.9555555555555556,True,0.9666666666666667,0.1345487485739971,0.12655458111563234,0.11471955212607392,-0.00799416745836476,1.1031648814018382,0.8925925925925926,0.9074074074074074,-0.014814814814814836,0.9222222222222223,0.9296296296296296,-0.007407407407407307
1360,0.9629629629629629,True,0.9592592592592593,0.26392958748084244,0.24199987890311175,0.23148445181768484,-0.02192970857773069,1.0454260621085203,0.8555555555555555,0.8703703703703703,-0.014814814814814836,0.8888888888888888,0.8925925925925926,-0.0037037037037037646
1361,0.9481481481481482,False,,,,,,,,,,,,
