seed,teacher_val_acc,schedule,cluster_nmse,cluster_val_acc,recursive_nmse_vs_cluster,recursive_nmse_vs_original,recursive_val_acc,direct_nmse,direct_val_acc,ratio_recursive_over_direct
1340,0.9592592592592593,all_frozen,0.17960751111942425,0.8037037037037037,0.012549259070168638,0.18621407803662132,0.7851851851851852,0.1557425048216739,0.837037037037037,1.1956535452530288
1340,0.9592592592592593,left_only,0.16044960920734525,0.8296296296296296,0.0184944306056956,0.17274938867779407,0.8296296296296296,0.1557425048216739,0.837037037037037,1.109198730787033
1340,0.9592592592592593,right_only,0.15653526657223082,0.8444444444444444,0.02252366781394047,0.17038255522655657,0.825925925925926,0.1557425048216739,0.837037037037037,1.0940016370074799
1340,0.9592592592592593,all_unfrozen,0.14129425438591864,0.8518518518518519,0.03182294829093354,0.16155399537022122,0.8185185185185185,0.1557425048216739,0.837037037037037,1.037314736623772
1341,0.9518518518518518,all_frozen,0.2818883257078997,0.7333333333333333,0.02019742888310934,0.2899083251580464,0.7,0.24353766067958324,0.774074074074074,1.190404491646456
1341,0.9518518518518518,left_only,0.24913602078303881,0.8222222222222222,0.02696216611963643,0.2665760107626423,0.7703703703703704,0.24353766067958324,0.774074074074074,1.0945987163495428
1341,0.9518518518518518,right_only,0.25203829516184495,0.7592592592592593,0.030818212137205814,0.26841142006394547,0.7185185185185186,0.24353766067958324,0.774074074074074,1.1021351659326648
1341,0.9518518518518518,all_unfrozen,0.23217191610453924,0.8148148148148148,0.04345141055371065,0.2582825243172912,0.7925925925925926,0.24353766067958324,0.774074074074074,1.0605444907229664
1342,0.9592592592592593,all_frozen,0.2898807231319756,0.8333333333333334,0.01558356469180017,0.29732857746709457,0.8333333333333334,0.2530820890889114,0.8666666666666667,1.174830579822813
1342,0.9592592592592593,left_only,0.26331298953990984,0.8518518518518519,0.024819535028032247,0.2767322307231035,0.8444444444444444,0.2530820890889114,0.8666666666666667,1.0934485001263106
1342,0.9592592592592593,right_only,0.26012128516166483,0.8481481481481481,0.02819384756254953,0.27567658998266387,0.8444444444444444,0.2530820890889114,0.8666666666666667,1.0892773604607582
1342,0.9592592592592593,all_unfrozen,0.24200641882556911,0.8629629629629629,0.040988191962970606,0.2677703399424864,0.8629629629629629,0.2530820890889114,0.8666666666666667,1.0580374964757573
