seed,eligible,teacher_val_acc,test_evaluated_after_validation_only,exact_parameter_match,generic_best_name,D_frozen,D_sketch,D_generic,R_full,validation_accuracy_difference,test_accuracy_difference,self_test_acc,full32_test_acc
1580,False,0.9407407407407408,False,,,,,,,,,,
1581,True,0.9518518518518518,True,True,anchor_shuffled,-0.008513920324435126,-0.19464654891427058,-0.4113959344294865,1.0783508143530502,-0.007407407407407418,-0.014814814814814836,0.8962962962962963,0.9111111111111111
1582,True,0.9555555555555556,True,True,anchor_input,-0.009300278738145817,-0.24251371393107402,-0.39784896170165296,1.0621855134278348,0.0037037037037036535,0.007407407407407418,0.837037037037037,0.8296296296296296
1583,False,0.9407407407407408,False,,,,,,,,,,
1584,True,0.9592592592592593,True,True,anchor_shuffled,-0.012594776627858129,-0.25788639351659576,-0.3209583313796978,1.0815576344409292,0.033333333333333326,0.011111111111111072,0.837037037037037,0.825925925925926
1585,True,0.9851851851851852,True,True,anchor_input,-0.0033136245276698673,-0.20975459967733542,-0.39919905896093333,1.0879946783374912,-0.022222222222222254,-0.040740740740740744,0.8481481481481481,0.8888888888888888
1586,True,0.9777777777777777,True,True,anchor_mean,-0.005041215485399514,-0.2672676953463864,-0.3446357380759108,1.1040220310179707,0.025925925925925908,0.0037037037037036535,0.8148148148148148,0.8111111111111111
1587,True,0.9592592592592593,True,True,anchor_input,-0.007797691393223449,-0.28321417229897305,-0.4538555567376338,1.0802419401194852,0.007407407407407418,0.0037037037037036535,0.9296296296296296,0.9259259259259259
1588,True,0.9518518518518518,True,True,anchor_input,-0.0048807346652763595,-0.21971913643897908,-0.3115531831112325,1.0402737286190873,-0.007407407407407418,-0.0037037037037036535,0.9222222222222223,0.9259259259259259
1589,True,0.9777777777777777,True,True,anchor_shuffled,-0.006539686584269899,-0.20807668245571803,-0.4196099322467515,1.0255666902308855,-0.011111111111111183,-0.014814814814814836,0.8888888888888888,0.9037037037037037
1590,True,0.9592592592592593,True,True,anchor_mean,-0.007247183419055947,-0.2843996369518658,-0.38732969356214725,1.073136171546895,-0.033333333333333326,-0.04814814814814816,0.6777777777777778,0.725925925925926
1591,True,0.9666666666666667,True,True,anchor_mean,-0.010015277541995798,-0.23693539529897434,-0.37641641389295216,1.077907000309069,-0.033333333333333326,-0.014814814814814836,0.8185185185185185,0.8333333333333334
