seed,teacher_val_acc,eligible,teacher_test_acc,no_adapt_val_nmse,joint_val_nmse,flat_val_nmse,direct_val_nmse,D_joint_minus_no_adapt,R_joint_over_flat,R_joint_over_direct,joint_val_acc,flat_val_acc,val_acc_diff,joint_test_acc,flat_test_acc,test_acc_diff
1380,0.9777777791023254,True,0.9844444394111633,0.0769898181222371,0.06985454906202385,0.0692636819669762,0.04293336090529314,-0.007135269060213251,1.0085306913849794,1.6270459053069768,0.9629629850387573,0.9592592716217041,0.0037037134170532227,0.9711111187934875,0.9755555391311646,-0.004444420337677002
1381,0.9666666388511658,True,0.9888888597488403,0.07096216695696257,0.06663128274982187,0.06489298995591233,0.04348003336885945,-0.0043308842071407005,1.0267870658308473,1.5324570288288561,0.9481481313705444,0.9555555582046509,-0.007407426834106445,0.9777777791023254,0.9755555391311646,0.0022222399711608887
1382,0.9814814925193787,True,0.9844444394111633,0.06965607148669142,0.06523117826007874,0.06369669818997335,0.044686979808713105,-0.004424893226612686,1.0240904177721872,1.4597356666149075,0.9666666388511658,0.9629629850387573,0.0037036538124084473,0.9777777791023254,0.9755555391311646,0.0022222399711608887
1383,0.9814814925193787,True,0.9933333396911621,0.07500138190484164,0.07004429276005705,0.06782445906553197,0.043969191108765,-0.004957089144784585,1.0327291028208612,1.5930311882879769,0.9592592716217041,0.9592592716217041,0.0,0.9755555391311646,0.9777777791023254,-0.0022222399711608887
1384,0.9814814925193787,True,0.9800000190734863,0.07303373268055054,0.06762599726625963,0.06666301605993534,0.042854756599783224,-0.005407735414290904,1.0144455091179567,1.5780277997565786,0.9592592716217041,0.9592592716217041,0.0,0.9666666388511658,0.9666666388511658,0.0
1385,0.9851852059364319,True,0.9822221994400024,0.0714209495880994,0.06837301452320574,0.06565544487227755,0.042698384008619236,-0.0030479350648936615,1.0413913827895735,1.6013021595712789,0.9666666388511658,0.9666666388511658,0.0,0.9755555391311646,0.9755555391311646,0.0
1386,0.9814814925193787,True,0.9777777791023254,0.06998442710466146,0.06426374032862381,0.06378539599420849,0.03931638970570529,-0.005720686776037653,1.0074992767068305,1.6345280126089081,0.9555555582046509,0.9555555582046509,0.0,0.9666666388511658,0.9688888788223267,-0.0022222399711608887
1387,0.9777777791023254,True,0.9822221994400024,0.07094477977426777,0.062410833257164074,0.061634204823424056,0.04194785137268668,-0.0085339465171037,1.0126006076652563,1.4878195477206577,0.9555555582046509,0.9555555582046509,0.0,0.9755555391311646,0.9755555391311646,0.0
1388,0.9814814925193787,True,0.9888888597488403,0.07283281419925461,0.07171636530228678,0.07086213985523096,0.04006283835707754,-0.0011164488969678255,1.0120547509403608,1.7900969637518782,0.9518518447875977,0.9555555582046509,-0.0037037134170532227,0.9666666388511658,0.9688888788223267,-0.0022222399711608887
1389,0.9777777791023254,True,0.9800000190734863,0.07536954678013581,0.07059960867752958,0.06898652690155073,0.04568314783953721,-0.00476993810260623,1.0233825624861628,1.5454190881397192,0.970370352268219,0.9666666388511658,0.0037037134170532227,0.9599999785423279,0.9577777981758118,0.0022221803665161133
