recipe_index,recipe_id,seed,train_mse,validation_mse,validation_r2
0,baseline_60,2300,0.037825699895620346,0.6924006938934326,0.3598263388651577
0,baseline_60,2301,0.045035719871520996,0.6651525497436523,0.38501919507852167
0,baseline_60,2302,0.027545202523469925,0.8551339507102966,0.20936785527636226
1,short_15,2300,0.28983330726623535,0.6564636826515198,0.39305265970596737
1,short_15,2301,0.25891485810279846,0.42260774970054626,0.6092690793732132
1,short_15,2302,0.29197898507118225,0.5823438167572021,0.46158173258535873
2,short_25,2300,0.19057609140872955,0.5052793622016907,0.5328333018188223
2,short_25,2301,0.16178598999977112,0.48037686944007874,0.5558574468524218
2,short_25,2302,0.1750253289937973,0.6641804575920105,0.3859179378808937
3,short_40,2300,0.08618117868900299,0.7689199447631836,0.2890788615356076
3,short_40,2301,0.12256203591823578,0.593063235282898,0.4516708730475989
3,short_40,2302,0.07052628695964813,0.8372887372970581,0.22586702122956537
4,reg_40,2300,0.07868277281522751,0.7006480693817139,0.3522010539184707
4,reg_40,2301,0.09615445137023926,0.5747445225715637,0.4686078556637978
4,reg_40,2302,0.08092912286520004,0.7123813033103943,0.34135286559613665
5,reg_60,2300,0.017766710370779037,0.7430044412612915,0.31303959837731354
5,reg_60,2301,0.04308253899216652,0.6376686096191406,0.410430038402799
5,reg_60,2302,0.0388096421957016,0.7454690933227539,0.310760814497979
6,reg_100,2300,0.007303221616894007,0.6442325711250305,0.40436119511473856
6,reg_100,2301,0.009682925418019295,0.6017471551895142,0.44364198820248835
6,reg_100,2302,0.003031525993719697,0.713485062122345,0.34033231111188755
7,strongreg_40,2300,0.0787229835987091,0.7012995481491089,0.35159873357964677
7,strongreg_40,2301,0.09624471515417099,0.5739964246749878,0.4692995080787433
7,strongreg_40,2302,0.08142530173063278,0.7128577828407288,0.3409123115919751
8,strongreg_80,2300,0.01407994981855154,0.6642357707023621,0.38586682329874034
8,strongreg_80,2301,0.027958856895565987,0.5993037819862366,0.4459010316407236
8,strongreg_80,2302,0.026646558195352554,0.7804796695709229,0.27839107087735304
9,low_lr_80,2300,0.017562242224812508,0.712288498878479,0.3414386707134486
9,low_lr_80,2301,0.057243574410676956,0.6233800649642944,0.4236408153570814
9,low_lr_80,2302,0.018445318564772606,0.7027425765991211,0.350264542967211
10,low_lr_120,2300,0.00726033840328455,0.6870254874229431,0.3647960870339817
10,low_lr_120,2301,0.011000526137650013,0.6223666071891785,0.424577828294598
10,low_lr_120,2302,0.0029446789994835854,0.6888003945350647,0.36315505100509726
11,fullbatch_200,2300,7.477937469957396e-05,0.9824042320251465,0.09169745473597068
11,fullbatch_200,2301,0.001184722874313593,0.669305145740509,0.38117981088763564
11,fullbatch_200,2302,1.4354071026900783e-05,0.9626348614692688,0.10997562924104853
12,fullbatch_400,2300,3.4711172247625655e-06,0.9131571650505066,0.15572128518590023
12,fullbatch_400,2301,0.0001270743232453242,0.6986929774284363,0.3540086992702337
12,fullbatch_400,2302,0.0005318110343068838,0.9504718780517578,0.12122115316183057
