seed,basis,k,teacher_val_acc,frozen_nmse,full64_nmse,final_nmse,difference_vs_frozen,ratio_over_full64,final_val_acc,full64_val_acc
1470,identity,8,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.06649098186567136,-0.0045982713202110115,1.3591334647950166,0.9629629850387573,0.9629629850387573
1470,identity,16,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.06363909204521859,-0.007450161140663783,1.3008383579380247,0.9629629850387573,0.9629629850387573
1470,identity,24,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.061725696207018566,-0.009363556978863805,1.26172688383841,0.9629629850387573,0.9629629850387573
1470,identity,32,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.05864049410311405,-0.012448759082768317,1.1986626711073671,0.9629629850387573,0.9629629850387573
1470,random_20261001,8,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.06775060804069813,-0.003338645145184241,1.3848813187080373,0.9629629850387573,0.9629629850387573
1470,random_20261001,16,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.06418788126708556,-0.006901371918796806,1.3120560866529516,0.9629629850387573,0.9629629850387573
1470,random_20261001,24,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.05998998526099502,-0.01109926792488735,1.2262474433825972,0.9629629850387573,0.9629629850387573
1470,random_20261001,32,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.056916538851882956,-0.014172714333999414,1.1634235272714268,0.9629629850387573,0.9629629850387573
1470,random_20261002,8,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.0666473326064109,-0.004441920579471473,1.362329409839322,0.9629629850387573,0.9629629850387573
1470,random_20261002,16,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.0631958119231219,-0.007893441262760467,1.2917773269332913,0.9629629850387573,0.9629629850387573
1470,random_20261002,24,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.059300607667855776,-0.011788645518026595,1.2121559661562828,0.9629629850387573,0.9629629850387573
1470,random_20261002,32,0.9888888597488403,0.07108925318588237,0.04892159864204321,0.05787543485036695,-0.01321381833551542,1.1830139966831345,0.9629629850387573,0.9629629850387573
1471,identity,8,0.9740740656852722,0.0689225746747657,0.046896006113666004,0.06486490560538996,-0.004057669069375742,1.383169119565946,0.9629629850387573,0.9629629850387573
1471,identity,16,0.9740740656852722,0.0689225746747657,0.046896006113666004,0.061666620778941916,-0.007255953895823786,1.3149717026693713,0.9629629850387573,0.9629629850387573
1471,identity,24,0.9740740656852722,0.0689225746747657,0.046896006113666004,0.05864571100570458,-0.010276863669061123,1.250548092806875,0.9629629850387573,0.9629629850387573
1471,identity,32,0.9740740656852722,0.0689225746747657,0.046896006113666004,0.05608147319262696,-0.01284110148213874,1.1958688562240745,0.9629629850387573,0.9629629850387573
1471,random_20261001,8,0.9740740656852722,0.0689225746747657,0.046896006113666004,0.06534036062135029,-0.003582214053415411,1.3933033116504436,0.9629629850387573,0.9629629850387573
1471,random_20261001,16,0.9740740656852722,0.0689225746747657,0.046896006113666004,0.061890929695634145,-0.007031644979131557,1.319748414089328,0.9629629850387573,0.9629629850387573
