seed,schedule,cluster_nmse_vs_original,cluster_val_acc,recompiled_nmse_vs_cluster,recompiled_nmse_vs_original,recompiled_val_acc,direct_original_nmse,direct_original_val_acc,excess_original_nmse_vs_direct
1310,all_frozen,0.13818658194013106,0.9629629850387573,0.012122096573855096,0.1398646781722649,0.9592592716217041,0.043514956853023715,0.9629629850387573,0.09634972131924119
1310,middle_only,0.08766172208632732,0.970370352268219,0.016893893352203263,0.09185309826093024,0.9592592716217041,0.043514956853023715,0.9629629850387573,0.04833814140790652
1310,edges_only,0.050887587028164254,0.970370352268219,0.02270666950109191,0.05846888138978411,0.9666666388511658,0.043514956853023715,0.9629629850387573,0.014953924536760397
1310,all_unfrozen,0.039077315385035165,0.9740740656852722,0.025950452828242487,0.05502358253596748,0.9666666388511658,0.043514956853023715,0.9629629850387573,0.011508625682943763
1311,all_frozen,0.1779389252797285,0.9518518447875977,0.007972102918378653,0.17605442530790047,0.9370370507240295,0.04524520616630574,0.970370352268219,0.13080921914159472
1311,middle_only,0.10126483781320827,0.9666666388511658,0.011143888441936995,0.10237043778703572,0.9518518447875977,0.04524520616630574,0.970370352268219,0.05712523162072998
1311,edges_only,0.06457877059026502,0.970370352268219,0.02025944089253008,0.0682977602194712,0.9592592716217041,0.04524520616630574,0.970370352268219,0.02305255405316546
1311,all_unfrozen,0.050611494659195476,0.9740740656852722,0.025261059375458854,0.059057711391685204,0.9629629850387573,0.04524520616630574,0.970370352268219,0.013812505225379465
1312,all_frozen,0.1498688367417644,0.9481481313705444,0.009037724539444998,0.1528838549295086,0.9481481313705444,0.04337603205025216,0.9740740656852722,0.10950782287925644
1312,middle_only,0.10647112855082065,0.9592592716217041,0.015443952271624487,0.10811763091003548,0.9592592716217041,0.04337603205025216,0.9740740656852722,0.06474159885978332
1312,edges_only,0.05767568897678393,0.9629629850387573,0.021333637811229746,0.06232095906734714,0.9629629850387573,0.04337603205025216,0.9740740656852722,0.01894492701709498
1312,all_unfrozen,0.04918013455376798,0.9666666388511658,0.024394582904215714,0.05857793506114184,0.9629629850387573,0.04337603205025216,0.9740740656852722,0.015201903010889683
