candidate,tau,metric,mean,ci95_lo,ci95_hi,pass_rate
conv3,1,utility_pre_only,0.9300260013080359,0.9022185062264965,0.9630631446880635,0.25
conv3,1,utility_b_out_only,0.9188571185246126,0.8974429916163253,0.9414565773730367,0.25
conv3,1,utility_head_only,0.9855272942895601,0.9632179935255452,1.0130413075270357,1.0
conv3,1,utility_post_only,0.9830930881641229,0.9676125587754363,0.9981347191405837,0.875
conv3,1,utility_full_shell,0.9872721118613598,0.9671826385847798,1.0103061265722977,0.875
conv3,2,post_minus_pre,0.12126554509256626,0.09277500598185308,0.1493297401099451,
conv3,2,full_minus_post,0.015103453378535664,-0.008318832973729512,0.0362405901214181,
conv3,2,head_minus_bout,0.11709885550766494,0.09295094619612124,0.14428173012899756,
conv3,2,utility_frozen,0.8645190050123688,0.8513975552663999,0.8789549342491696,0.0
conv3,2,utility_pre_only,0.8578876073708963,0.8361026672197618,0.8807601449757003,0.0
conv3,2,utility_b_out_only,0.8631804087922803,0.8479333534654953,0.8794647804207307,0.0
conv3,2,utility_head_only,0.9802792642999452,0.9662162100064865,0.9961526485287406,0.875
conv3,2,utility_post_only,0.9791531524634627,0.9647913890210417,0.9948901619015408,1.0
conv3,2,utility_full_shell,0.9942566058419984,0.9766623683099763,1.0128807820042351,1.0
conv3,4,post_minus_pre,0.2154015759627093,0.1908883907002818,0.24009547618943308,
conv3,4,full_minus_post,0.01684857031471941,-0.002334858519155579,0.03683122501554342,
conv3,4,head_minus_bout,0.23271703237911873,0.20027537255394207,0.26473182731972095,
conv3,4,utility_frozen,0.779045801492862,0.7625441533660497,0.7952183674636973,0.0
conv3,4,utility_pre_only,0.7679659821791427,0.7457558346273561,0.7884300567650256,0.0
conv3,4,utility_b_out_only,0.738344927159837,0.7069135259535086,0.7724075774142823,0.0
conv3,4,utility_head_only,0.9710619595389557,0.9397519559941555,0.9959681922107688,0.75
conv3,4,utility_post_only,0.9833675581418521,0.9539974908237441,1.0099305538894707,0.75
conv3,4,utility_full_shell,1.0002161284565716,0.9865841262341349,1.014077145917118,1.0
conv3,8,post_minus_pre,0.25995016593681386,0.2421796685433104,0.27718235730686985,
conv3,8,full_minus_post,0.024511145822307553,0.011635117820122914,0.036074862876032635,
conv3,8,head_minus_bout,0.2812098482394254,0.2551141597927854,0.3042897527842565,
conv3,8,utility_frozen,0.6728966019216417,0.6483999834781432,0.6970021495262201,0.0
conv3,8,utility_pre_only,0.7070846032312548,0.6841022974258998,0.7280246214789263,0.0
conv3,8,utility_b_out_only,0.6640076659269021,0.622232824018065,0.7083231842679651,0.0
conv3,8,utility_head_only,0.9452175141663275,0.9217284840271671,0.9677132880625834,0.625
conv3,8,utility_post_only,0.9670347691680685,0.9452143127427182,0.988429385741771,0.625
conv3,8,utility_full_shell,0.991545914990376,0.9784250035464646,1.0043804995531285,1.0
