seed,basis,teacher_val_acc,frozen_nmse,full64_nmse,basis_nmse,difference_vs_frozen,ratio_over_full64,basis_val_acc,full64_val_acc
1450,identity_first32,0.9740740656852722,0.06557332077227486,0.04664062246281834,0.05317816700691292,-0.01239515376536194,1.140168466861828,0.9666666388511658,0.970370352268219
1450,random_20260910,0.9740740656852722,0.06557332077227486,0.04664062246281834,0.05430907798925384,-0.011264242783021017,1.1644158058256782,0.9666666388511658,0.970370352268219
1450,random_20260911,0.9740740656852722,0.06557332077227486,0.04664062246281834,0.05409548437179735,-0.01147783640047751,1.1598362439292482,0.9666666388511658,0.970370352268219
1450,random_20260912,0.9740740656852722,0.06557332077227486,0.04664062246281834,0.053382476826350486,-0.012190843945924373,1.1445489791416639,0.9666666388511658,0.970370352268219
1451,identity_first32,0.9777777791023254,0.07363622542733159,0.05514730569156119,0.0616561285740564,-0.01198009685327519,1.1180261265871998,0.9629629850387573,0.970370352268219
1451,random_20260910,0.9777777791023254,0.07363622542733159,0.05514730569156119,0.0614326571161617,-0.012203568311169886,1.1139738622908337,0.9592592716217041,0.970370352268219
1451,random_20260911,0.9777777791023254,0.07363622542733159,0.05514730569156119,0.060201470719525495,-0.013434754707806092,1.091648448905777,0.9629629850387573,0.970370352268219
1451,random_20260912,0.9777777791023254,0.07363622542733159,0.05514730569156119,0.060591199075301395,-0.013045026352030191,1.0987154914546124,0.9666666388511658,0.970370352268219
1452,identity_first32,0.9740740656852722,0.07647736307404317,0.05388288219005344,0.059713714341822176,-0.01676364873222099,1.1082130709193037,0.970370352268219,0.9777777791023254
1452,random_20260910,0.9740740656852722,0.07647736307404317,0.05388288219005344,0.06037549469112907,-0.016101868382914095,1.1204948999976498,0.970370352268219,0.9777777791023254
1452,random_20260911,0.9740740656852722,0.07647736307404317,0.05388288219005344,0.06190866161928228,-0.014568701454760885,1.1489485918908466,0.970370352268219,0.9777777791023254
1452,random_20260912,0.9740740656852722,0.07647736307404317,0.05388288219005344,0.06270203677590944,-0.01377532629813373,1.1636726586886992,0.970370352268219,0.9777777791023254
