seed,eligible,teacher_val_acc,test_evaluated_after_validation_only,exact_parameter_match,worst_nmse_basis,best_nmse_basis,min_validation_accuracy_basis,min_test_accuracy_basis,D_worst,R_worst,basis_sensitivity,validation_accuracy_difference_worst,test_accuracy_difference_worst,frozen_final_nmse,full32_final_nmse,full32_val_acc,full32_test_acc,direct_final_nmse,direct_val_acc,anchored_minus_sketch_nmse__identity_first16,anchored_minus_sketch_nmse__random_20261101,anchored_minus_sketch_nmse__random_20261102,anchored_minus_sketch_nmse__random_20261103,anchored_nmse__identity_first16,anchored_nmse__random_20261101,anchored_nmse__random_20261102,anchored_nmse__random_20261103,anchored_test_acc__identity_first16,anchored_test_acc__random_20261101,anchored_test_acc__random_20261102,anchored_test_acc__random_20261103,anchored_val_acc__identity_first16,anchored_val_acc__random_20261101,anchored_val_acc__random_20261102,anchored_val_acc__random_20261103
1510,True,0.9592592592592593,True,True,random_20261101,identity_first16,identity_first16,identity_first16,-0.0027517690519390514,1.0238900640877098,1.0178239434875922,-0.03703703703703709,-0.011111111111111072,0.20146404525435774,0.19407579306814754,0.8814814814814815,0.8962962962962963,0.18393912626227216,0.8962962962962963,-0.10237733877090852,-0.08720716546187982,-0.09688994798317221,-0.10614331384352624,0.19523246380069179,0.1987122762024187,0.19828440521125348,0.19806807721618144,0.8851851851851852,0.8962962962962963,0.8925925925925926,0.8962962962962963,0.8444444444444444,0.8518518518518519,0.8481481481481481,0.8592592592592593
1511,False,0.9222222222222223,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,True,0.9777777777777777,True,True,random_20261103,random_20261101,random_20261103,random_20261101,-0.01696000234109027,1.060687942744468,1.0144940076188356,-0.040740740740740744,-0.02962962962962956,0.22803471905188216,0.19899794105762003,0.8074074074074075,0.8222222222222222,0.18960121220766774,0.7962962962962963,-0.12580101032642418,-0.12058293392177136,-0.11540387606425181,-0.12239967554317041,0.21100129919044922,0.20805910643692696,0.2094618113104685,0.2110747167107919,0.8,0.7925925925925926,0.7962962962962963,0.8074074074074075,0.7814814814814814,0.774074074074074,0.7962962962962963,0.7666666666666667
1513,False,0.9444444444444444,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,True,0.9666666666666667,True,True,random_20261101,random_20261103,random_20261102,identity_first16,-0.010207130834134187,1.0853867702073048,1.0110006471588222,-0.022222222222222143,-0.033333333333333326,0.17601684665022904,0.15276555820228566,0.8222222222222222,0.8629629629629629,0.1465876331095632,0.837037037037037,-0.15184912989703211,-0.11925201800963517,-0.13202168677093815,-0.10547643911789065,0.16437294611503264,0.16580971581609485,0.16441580760380828,0.16400554864338,0.8296296296296296,0.8444444444444444,0.8296296296296296,0.8407407407407408,0.8185185185185185,0.8111111111111111,0.8,0.8037037037037037
1515,True,0.9740740740740741,True,True,identity_first16,random_20261101,identity_first16,random_20261101,-0.02153589219158425,1.0767513334808463,1.0085879011234897,-0.011111111111111072,0.0,0.30037439608818506,0.25896276626395365,0.7703703703703704,0.7666666666666667,0.24710072714611603,0.762962962962963,-0.16597429926063756,-0.14176283509708054,-0.10511307882619436,-0.12920973131577035,0.2788385038966008,0.27646425620017456,0.27740018629558627,0.276735938079663,0.7703703703703704,0.7666666666666667,0.7814814814814814,0.7814814814814814,0.7592592592592593,0.7666666666666667,0.7851851851851852,0.7851851851851852
1516,False,0.937037037037037,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,True,0.9666666666666667,True,True,random_20261103,random_20261101,random_20261103,random_20261101,-0.007037566125813632,1.0930380466065273,1.0159886547775596,-0.033333333333333326,-0.022222222222222254,0.1329720017645011,0.1152150522387273,0.8777777777777778,0.8814814814814815,0.107989361149984,0.8592592592592593,-0.1578159009147919,-0.1463358149173683,-0.12499896073794,-0.1760126809250713,0.12549114404087555,0.12395260030365157,0.12416012791516988,0.12593443563868748,0.8629629629629629,0.8592592592592593,0.8777777777777778,0.8666666666666667,0.8592592592592593,0.8555555555555555,0.8629629629629629,0.8444444444444444
1518,True,0.9518518518518518,True,True,random_20261101,random_20261103,identity_first16,random_20261101,-0.00691048580621223,1.0318021110907,1.0151013024623905,-0.007407407407407418,-0.01851851851851849,0.1956180955381539,0.18289128089926288,0.8925925925925926,0.9296296296296296,0.17137693376994367,0.8925925925925926,-0.11496707354433794,-0.13179896772635397,-0.13513752091403733,-0.1179859409456179,0.18633735164408727,0.18870760973194167,0.18678447328028433,0.1859002734743642,0.9222222222222223,0.9111111111111111,0.9222222222222223,0.9148148148148149,0.8851851851851852,0.8962962962962963,0.8925925925925926,0.9074074074074074
1519,True,0.9592592592592593,True,True,random_20261102,random_20261101,random_20261101,identity_first16,-0.005536450281557956,1.07910009086055,1.0186751614176732,0.0037037037037036535,-0.0037037037037037646,0.09156137158923756,0.07971913081675057,0.8925925925925926,0.8925925925925926,0.07515115492916384,0.9037037037037037,-0.09302446309793728,-0.12538339475633897,-0.07915818469234465,-0.1355344692405066,0.08557986291809465,0.08444784418612912,0.08602492130767961,0.08513273890035294,0.8888888888888888,0.9,0.9037037037037037,0.9,0.9037037037037037,0.8962962962962963,0.9111111111111111,0.9074074074074074
