seed,eligible,baseline_val_acc,baseline_test_acc,included,component_choice,component_params,component_nmse,component_val_utility,component_test_utility,component_updates,composed_choice,composed_params,composed_nmse,composed_val_utility,composed_test_utility,composed_updates,complexity_ratio
9000,True,0.9592592592592593,0.9888888888888889,True,8+8,9808,0.07431996430223536,0.9845559845559846,0.9737827715355805,640,8,4904,0.09360617030480563,0.9845559845559846,0.9812734082397003,320,0.5
9001,False,0.9444444444444444,0.9666666666666667,False,,,,,,,,,,,,,
9002,False,0.9444444444444444,0.9444444444444444,False,,,,,,,,,,,,,
9003,True,0.9814814814814815,0.9814814814814815,True,8+8,9808,0.08372234316828257,0.981132075471698,0.9886792452830188,640,8,4904,0.11335472420293025,0.9547169811320754,0.9773584905660377,320,0.5
9004,True,0.9777777777777777,0.9666666666666667,True,8+8,9808,0.07164011023693395,0.9621212121212122,0.9770114942528735,640,8,4904,0.09442995449225666,0.9772727272727274,0.9808429118773947,320,0.5
9005,False,0.9333333333333333,0.9407407407407408,False,,,,,,,,,,,,,
9006,False,0.9444444444444444,0.9703703703703703,False,,,,,,,,,,,,,
9007,True,0.9666666666666667,0.9518518518518518,True,8+8,9808,0.08065850602972756,0.9770114942528735,0.9883268482490273,640,16,5424,0.10131216490054905,0.9655172413793104,0.9883268482490273,320,0.5530179445350734
9008,True,0.9666666666666667,0.9740740740740741,True,8+8,9808,0.08502990933707905,0.9731800766283525,0.9809885931558936,640,8,4904,0.11809613851120518,0.9731800766283525,0.961977186311787,320,0.5
9009,True,0.9666666666666667,0.9703703703703703,True,8+8,9808,0.11235752054655333,0.9808429118773947,0.9923664122137404,640,16,5424,0.11587490578141786,0.9808429118773947,0.984732824427481,320,0.5530179445350734
9010,True,0.9666666666666667,0.9629629629629629,True,8+8,9808,0.10069746516744103,0.9578544061302682,0.9923076923076924,640,8,4904,0.11670357363286614,0.9501915708812261,0.9615384615384616,320,0.5
9011,True,0.9629629629629629,0.9777777777777777,True,8+8,9808,0.08515405205102207,0.9961538461538462,0.9848484848484849,640,16,5424,0.10621017783758072,0.976923076923077,0.9924242424242424,320,0.5530179445350734
