seed,bits,h,budget_params,sep_nmse,comp_nmse,sep_val_acc,comp_val_acc,sep_pass,comp_pass,sep_code_bits,comp_code_bits,sep_scales,comp_scales,selected_sep,selected_comp,sep_test_acc,comp_test_acc
31000,6,2,512,0.7513887058888225,0.45442696890870027,0.28518518805503845,0.7222222089767456,False,False,3136,3104,4,2,False,False,,
31000,6,4,1024,0.5243887025749383,0.13058307820342868,0.6740740537643433,0.9481481313705444,False,False,6208,6176,4,2,False,False,,
31000,6,6,1536,0.29950119835113354,0.07516380267202506,0.8888888955116272,0.970370352268219,False,True,9280,9248,4,2,False,True,,0.9599999785423279
31000,6,8,2048,0.1280397885991858,0.05679050796424062,0.9518518447875977,0.9740740656852722,False,True,12352,12320,4,2,False,False,,
31000,6,12,3072,0.06654240716788344,0.042598433161255736,0.9666666388511658,0.9740740656852722,True,True,18496,18464,4,2,True,False,0.9622222185134888,
31000,6,16,4096,0.05464960066953751,0.03753119867237358,0.9814814925193787,0.9814814925193787,True,True,24640,24608,4,2,False,False,,
31000,6,24,6144,0.035643986822632756,0.03234657455402675,0.9814814925193787,0.970370352268219,True,True,36928,36896,4,2,False,False,,
31001,6,2,512,0.7112758317503084,0.4338772473847037,0.4962962865829468,0.7259259223937988,False,False,3136,3104,4,2,False,False,,
31001,6,4,1024,0.5093573045171554,0.1322465523481172,0.7259259223937988,0.9518518447875977,False,False,6208,6176,4,2,False,False,,
31001,6,6,1536,0.3028935084130615,0.06571217445318418,0.8407407402992249,0.9777777791023254,False,True,9280,9248,4,2,False,True,,0.9844444394111633
31001,6,8,2048,0.14013388686786463,0.05448239645858871,0.9518518447875977,0.9777777791023254,False,True,12352,12320,4,2,False,False,,
31001,6,12,3072,0.058978488571453346,0.041303462492826855,0.9629629850387573,0.9777777791023254,True,True,18496,18464,4,2,True,False,0.9844444394111633,
31001,6,16,4096,0.044940526618670366,0.037920208407967226,0.970370352268219,0.9777777791023254,True,True,24640,24608,4,2,False,False,,
31001,6,24,6144,0.03270266286611346,0.03226351835667734,0.9777777791023254,0.9777777791023254,True,True,36928,36896,4,2,False,False,,
31002,6,2,512,0.7432058032098764,0.4278012262067969,0.4592592716217041,0.6814814805984497,False,False,3136,3104,4,2,False,False,,
31002,6,4,1024,0.46476563310171404,0.11998830721781142,0.7666666507720947,0.9629629850387573,False,False,6208,6176,4,2,False,False,,
31002,6,6,1536,0.28231140270473254,0.06970951759610962,0.9222221970558167,0.9666666388511658,False,True,9280,9248,4,2,False,True,,0.9688888788223267
31002,6,8,2048,0.13570226986236958,0.051419898378091626,0.9444444179534912,0.9666666388511658,False,True,12352,12320,4,2,False,False,,
31002,6,12,3072,0.060341486014730224,0.038333267292001,0.970370352268219,0.9777777791023254,True,True,18496,18464,4,2,True,False,0.9733333587646484,
31002,6,16,4096,0.044190287478959325,0.031102365447724004,0.9740740656852722,0.9777777791023254,True,True,24640,24608,4,2,False,False,,
31002,6,24,6144,0.03207008271432835,0.02536909009855482,0.9814814925193787,0.9814814925193787,True,True,36928,36896,4,2,False,False,,
31003,6,2,512,0.7729222930617381,0.4803072313024002,0.39259257912635803,0.6000000238418579,False,False,3136,3104,4,2,False,False,,
31003,6,4,1024,0.5382879766628594,0.16726225397601976,0.6777777671813965,0.9444444179534912,False,False,6208,6176,4,2,False,False,,
31003,6,6,1536,0.3409827234645524,0.08390404713851443,0.8333333134651184,0.9555555582046509,False,False,9280,9248,4,2,False,False,,
31003,6,8,2048,0.1735078563769766,0.06272914056116691,0.9444444179534912,0.9518518447875977,False,False,12352,12320,4,2,False,False,,
31003,6,12,3072,0.0663311128185706,0.04772872728565878,0.9481481313705444,0.9592592716217041,False,False,18496,18464,4,2,False,False,,
31003,6,16,4096,0.055434571820358415,0.03996676857778968,0.9518518447875977,0.9518518447875977,False,False,24640,24608,4,2,False,False,,
31003,6,24,6144,0.0362075058260752,0.03414668105003755,0.9629629850387573,0.9629629850387573,False,False,36928,36896,4,2,False,False,,
31004,6,2,512,0.7371437197921094,0.46866173414244156,0.4962962865829468,0.7777777910232544,False,False,3136,3104,4,2,False,False,,
31004,6,4,1024,0.49066406821337066,0.13093261934532607,0.7925925850868225,0.9592592716217041,False,False,6208,6176,4,2,False,False,,
31004,6,6,1536,0.30178782481620114,0.08366560992068524,0.8444444537162781,0.970370352268219,False,False,9280,9248,4,2,False,False,,
31004,6,8,2048,0.14047951899669534,0.05837427148276161,0.9481481313705444,0.9740740656852722,False,True,12352,12320,4,2,False,True,,0.9733333587646484
31004,6,12,3072,0.06663682591377555,0.04605295912322265,0.9629629850387573,0.9740740656852722,True,True,18496,18464,4,2,True,False,0.9688888788223267,
31004,6,16,4096,0.05216095644498174,0.039764286895933317,0.9666666388511658,0.970370352268219,True,True,24640,24608,4,2,False,False,,
31004,6,24,6144,0.03504906907017356,0.03168889225882642,0.970370352268219,0.9777777791023254,True,True,36928,36896,4,2,False,False,,
31005,6,2,512,0.7307352214102906,0.4368571775309629,0.3777777850627899,0.6703703999519348,False,False,3136,3104,4,2,False,False,,
