seed,bits,h,budget_params,sep_nmse,comp_nmse,sep_val_acc,comp_val_acc,sep_pass,comp_pass,sep_code_bits,comp_code_bits,sep_scales,comp_scales,selected_sep,selected_comp,sep_test_acc,comp_test_acc
31000,8,2,512,0.7511170727428136,0.4538905591538137,0.2925925850868225,0.7222222089767456,False,False,4160,4128,4,2,False,False,,
31000,8,4,1024,0.5239737106650809,0.1294996881989119,0.6777777671813965,0.9444444179534912,False,False,8256,8224,4,2,False,False,,
31000,8,6,1536,0.29696916489534747,0.07342387066830462,0.9037036895751953,0.970370352268219,False,True,12352,12320,4,2,False,True,,0.9622222185134888
31000,8,8,2048,0.12539890761644418,0.05573924012196022,0.9555555582046509,0.9740740656852722,False,True,16448,16416,4,2,False,False,,
31000,8,12,3072,0.06317385475542961,0.04140829187316667,0.970370352268219,0.9740740656852722,True,True,24640,24608,4,2,True,False,0.9599999785423279,
31000,8,16,4096,0.05313578440439229,0.03631630242835092,0.9814814925193787,0.9814814925193787,True,True,32832,32800,4,2,False,False,,
31000,8,24,6144,0.034841571995965825,0.030354886219751406,0.9777777791023254,0.970370352268219,True,True,49216,49184,4,2,False,False,,
31001,8,2,512,0.7117170030265821,0.4326312850496857,0.49259260296821594,0.7370370626449585,False,False,4160,4128,4,2,False,False,,
31001,8,4,1024,0.506045734827424,0.13080528633466262,0.729629635810852,0.9555555582046509,False,False,8256,8224,4,2,False,False,,
31001,8,6,1536,0.3007967466024577,0.0638626889918014,0.8370370268821716,0.9777777791023254,False,True,12352,12320,4,2,False,True,,0.9844444394111633
31001,8,8,2048,0.13989653654850887,0.052947213686213176,0.9555555582046509,0.9777777791023254,False,True,16448,16416,4,2,False,False,,
31001,8,12,3072,0.056547577409626626,0.04022129584313037,0.9666666388511658,0.9740740656852722,True,True,24640,24608,4,2,True,False,0.9844444394111633,
31001,8,16,4096,0.04388986526333144,0.036557646257742875,0.9777777791023254,0.9777777791023254,True,True,32832,32800,4,2,False,False,,
31001,8,24,6144,0.032551203201051336,0.03139188717241021,0.9814814925193787,0.9777777791023254,True,True,49216,49184,4,2,False,False,,
31002,8,2,512,0.7434044889624488,0.4266897823370759,0.45185184478759766,0.6777777671813965,False,False,4160,4128,4,2,False,False,,
31002,8,4,1024,0.45977638004447774,0.11920693220268405,0.770370364189148,0.9666666388511658,False,False,8256,8224,4,2,False,False,,
31002,8,6,1536,0.2807036079837332,0.06851458985301585,0.9259259104728699,0.9666666388511658,False,True,12352,12320,4,2,False,True,,0.9711111187934875
31002,8,8,2048,0.13387532429360816,0.05009862325179702,0.9592592716217041,0.9666666388511658,False,True,16448,16416,4,2,False,False,,
31002,8,12,3072,0.05858676314665543,0.0374571844100349,0.9666666388511658,0.9777777791023254,True,True,24640,24608,4,2,True,False,0.9733333587646484,
31002,8,16,4096,0.04312511521424836,0.030201789721716783,0.970370352268219,0.9740740656852722,True,True,32832,32800,4,2,False,False,,
31002,8,24,6144,0.031233488295204063,0.024833606052538544,0.9814814925193787,0.9814814925193787,True,True,49216,49184,4,2,False,False,,
31003,8,2,512,0.7725997667561328,0.48043130918140925,0.39259257912635803,0.6037036776542664,False,False,4160,4128,4,2,False,False,,
31003,8,4,1024,0.5342693960242857,0.16547054035957312,0.6888889074325562,0.9481481313705444,False,False,8256,8224,4,2,False,False,,
31003,8,6,1536,0.3411433914625248,0.08201209159400995,0.8296296000480652,0.9555555582046509,False,False,12352,12320,4,2,False,False,,
31003,8,8,2048,0.17143618192838364,0.061922443898062285,0.9407407641410828,0.9518518447875977,False,False,16448,16416,4,2,False,False,,
31003,8,12,3072,0.06497858180600519,0.046511915380581983,0.9481481313705444,0.9592592716217041,False,False,24640,24608,4,2,False,False,,
