seed,bits,h,budget_params,sep_nmse,comp_nmse,sep_val_acc,comp_val_acc,sep_pass,comp_pass,sep_code_bits,comp_code_bits,sep_scales,comp_scales,selected_sep,selected_comp,sep_test_acc,comp_test_acc
31000,12,2,512,0.7511085020713998,0.4541078828119636,0.2888889014720917,0.7185184955596924,False,False,6208,6176,4,2,False,False,,
31000,12,4,1024,0.5237017346922156,0.1291895156004456,0.6777777671813965,0.9444444179534912,False,False,12352,12320,4,2,False,False,,
31000,12,6,1536,0.29654483095364903,0.07335664089328935,0.9111111164093018,0.970370352268219,False,True,18496,18464,4,2,False,True,,0.9599999785423279
31000,12,8,2048,0.1252750328456097,0.055763116584073895,0.9555555582046509,0.9740740656852722,False,True,24640,24608,4,2,False,False,,
31000,12,12,3072,0.0631196666854157,0.04128610623882334,0.970370352268219,0.9740740656852722,True,True,36928,36896,4,2,True,False,0.9599999785423279,
31000,12,16,4096,0.05300984195907923,0.03622976721597601,0.9814814925193787,0.9814814925193787,True,True,49216,49184,4,2,False,False,,
31000,12,24,6144,0.03472822129540491,0.0303265994329727,0.9777777791023254,0.970370352268219,True,True,73792,73760,4,2,False,False,,
31001,12,2,512,0.7115498096056433,0.43264419590527986,0.49259260296821594,0.7444444298744202,False,False,6208,6176,4,2,False,False,,
31001,12,4,1024,0.506442257860606,0.13057001945605073,0.7222222089767456,0.9555555582046509,False,False,12352,12320,4,2,False,False,,
31001,12,6,1536,0.3010441255044614,0.06376973838804406,0.8481481671333313,0.9777777791023254,False,True,18496,18464,4,2,False,True,,0.9844444394111633
31001,12,8,2048,0.13951956331422394,0.05292267118605148,0.9555555582046509,0.9777777791023254,False,True,24640,24608,4,2,False,False,,
31001,12,12,3072,0.05656551874908946,0.040127465444447494,0.9666666388511658,0.9740740656852722,True,True,36928,36896,4,2,True,False,0.9844444394111633,
31001,12,16,4096,0.04396913586562412,0.03650652099679464,0.9777777791023254,0.9777777791023254,True,True,49216,49184,4,2,False,False,,
31001,12,24,6144,0.03246073275538159,0.03136802745788089,0.9814814925193787,0.9777777791023254,True,True,73792,73760,4,2,False,False,,
31002,12,2,512,0.7433699866461339,0.4267939502499349,0.45185184478759766,0.6814814805984497,False,False,6208,6176,4,2,False,False,,
31002,12,4,1024,0.4597107463278096,0.11906444490690628,0.770370364189148,0.9666666388511658,False,False,12352,12320,4,2,False,False,,
31002,12,6,1536,0.2804839035786931,0.06838467739570345,0.9259259104728699,0.9666666388511658,False,True,18496,18464,4,2,False,True,,0.9711111187934875
31002,12,8,2048,0.13363039585319694,0.05002598744866411,0.9592592716217041,0.9666666388511658,False,True,24640,24608,4,2,False,False,,
31002,12,12,3072,0.058604324131647643,0.03739000982124207,0.9666666388511658,0.9777777791023254,True,True,36928,36896,4,2,True,False,0.9733333587646484,
31002,12,16,4096,0.04288091383414262,0.030174448536308424,0.970370352268219,0.9740740656852722,True,True,49216,49184,4,2,False,False,,
31002,12,24,6144,0.031151919151669913,0.024795080118396613,0.9814814925193787,0.9814814925193787,True,True,73792,73760,4,2,False,False,,
31003,12,2,512,0.7719844718864344,0.4803887913203367,0.3888888955116272,0.6037036776542664,False,False,6208,6176,4,2,False,False,,
31003,12,4,1024,0.5349781063961391,0.16541632175453796,0.6814814805984497,0.9481481313705444,False,False,12352,12320,4,2,False,False,,
31003,12,6,1536,0.3407874174554599,0.08172697672103371,0.8333333134651184,0.9555555582046509,False,False,18496,18464,4,2,False,False,,
31003,12,8,2048,0.17058253945226945,0.06177412536281742,0.9444444179534912,0.9518518447875977,False,False,24640,24608,4,2,False,False,,
31003,12,12,3072,0.06470938732473795,0.04642899840963252,0.9481481313705444,0.9592592716217041,False,False,36928,36896,4,2,False,False,,
31003,12,16,4096,0.05261687674360409,0.0387933375082893,0.9518518447875977,0.9518518447875977,False,False,49216,49184,4,2,False,False,,
31003,12,24,6144,0.035203182050040076,0.033631708454299004,0.9666666388511658,0.9629629850387573,True,False,73792,73760,4,2,True,False,0.9800000190734863,
31004,12,2,512,0.7377747167861322,0.4661323099086231,0.49259260296821594,0.7814815044403076,False,False,6208,6176,4,2,False,False,,
31004,12,4,1024,0.4886050562669023,0.12813372881122145,0.800000011920929,0.9592592716217041,False,False,12352,12320,4,2,False,False,,
31004,12,6,1536,0.29913452039280997,0.08024514295788165,0.8518518805503845,0.9666666388511658,False,False,18496,18464,4,2,False,False,,
