seed,bits,h,budget_params,sep_nmse,comp_nmse,sep_val_acc,comp_val_acc,sep_pass,comp_pass,sep_code_bits,comp_code_bits,sep_scales,comp_scales,selected_sep,selected_comp,sep_test_acc,comp_test_acc
31000,4,2,512,0.7573954323802964,0.47339237916444804,0.29629629850387573,0.7185184955596924,False,False,2112,2080,4,2,False,False,,
31000,4,4,1024,0.5686077675649471,0.17216477618597556,0.6407407522201538,0.9555555582046509,False,False,4160,4128,4,2,False,False,,
31000,4,6,1536,0.3334439426092531,0.10388430827763036,0.8740741014480591,0.9666666388511658,False,False,6208,6176,4,2,False,False,,
31000,4,8,2048,0.17933394284130644,0.07895768179561609,0.9444444179534912,0.9666666388511658,False,True,8256,8224,4,2,False,True,,0.9644444584846497
31000,4,12,3072,0.10938873628644477,0.061304955573609654,0.9518518447875977,0.9740740656852722,False,True,12352,12320,4,2,False,False,,
31000,4,16,4096,0.06797993017299327,0.05535435269544391,0.9814814925193787,0.9814814925193787,True,True,16448,16416,4,2,True,False,0.9666666388511658,
31000,4,24,6144,0.05269094156022319,0.05002052033000858,0.9814814925193787,0.970370352268219,True,True,24640,24608,4,2,False,False,,
31001,4,2,512,0.7181921209579619,0.456143853011946,0.48148149251937866,0.7148148417472839,False,False,2112,2080,4,2,False,False,,
31001,4,4,1024,0.5256876800986886,0.15740569699485712,0.6888889074325562,0.9518518447875977,False,False,4160,4128,4,2,False,False,,
31001,4,6,1536,0.33429080929289684,0.0946510152552427,0.8074073791503906,0.9777777791023254,False,False,6208,6176,4,2,False,False,,
31001,4,8,2048,0.18594943970766195,0.07645817318903914,0.9555555582046509,0.970370352268219,False,True,8256,8224,4,2,False,True,,0.9777777791023254
31001,4,12,3072,0.08639593725165604,0.06099210706283771,0.970370352268219,0.9777777791023254,False,True,12352,12320,4,2,False,False,,
31001,4,16,4096,0.06370258250790069,0.059808145981252156,0.9777777791023254,0.9740740656852722,True,True,16448,16416,4,2,True,False,0.9844444394111633,
31001,4,24,6144,0.04790346812351198,0.04431655770593822,0.9777777791023254,0.9740740656852722,True,True,24640,24608,4,2,False,False,,
31002,4,2,512,0.744241269277674,0.4389470937381216,0.4444444477558136,0.6888889074325562,False,False,2112,2080,4,2,False,False,,
31002,4,4,1024,0.4947328116166159,0.14391401943450655,0.7185184955596924,0.9555555582046509,False,False,4160,4128,4,2,False,False,,
31002,4,6,1536,0.34806914925134136,0.09653633262448413,0.8925926089286804,0.9666666388511658,False,False,6208,6176,4,2,False,False,,
31002,4,8,2048,0.16988725740218938,0.07442559426765664,0.9592592716217041,0.9740740656852722,False,True,8256,8224,4,2,False,True,,0.9800000190734863
31002,4,12,3072,0.09532540542364518,0.05517099252122882,0.9629629850387573,0.9777777791023254,False,True,12352,12320,4,2,False,False,,
31002,4,16,4096,0.0638071015813274,0.046313270522788184,0.970370352268219,0.9777777791023254,True,True,16448,16416,4,2,True,False,0.9800000190734863,
31002,4,24,6144,0.050122294021970014,0.03798240286026062,0.9777777791023254,0.9777777791023254,True,True,24640,24608,4,2,False,False,,
31003,4,2,512,0.7783653410772088,0.49672003031175127,0.3629629611968994,0.6037036776542664,False,False,2112,2080,4,2,False,False,,
31003,4,4,1024,0.557961843242851,0.1977616060190408,0.6259258985519409,0.9518518447875977,False,False,4160,4128,4,2,False,False,,
31003,4,6,1536,0.37087901702118475,0.11709517735085528,0.8370370268821716,0.9518518447875977,False,False,6208,6176,4,2,False,False,,
31003,4,8,2048,0.21752090112336547,0.08962030097880821,0.9296296238899231,0.9481481313705444,False,False,8256,8224,4,2,False,False,,
31003,4,12,3072,0.10426906702286724,0.08113917800449248,0.9444444179534912,0.9555555582046509,False,False,12352,12320,4,2,False,False,,
31003,4,16,4096,0.08544997371316733,0.05846285648224594,0.9481481313705444,0.9518518447875977,False,False,16448,16416,4,2,False,False,,
31003,4,24,6144,0.05933948383790411,0.05634897960464042,0.970370352268219,0.970370352268219,True,True,24640,24608,4,2,True,True,0.9755555391311646,0.9822221994400024
31004,4,2,512,0.7464842274212456,0.49669491174066105,0.5148147940635681,0.7851851582527161,False,False,2112,2080,4,2,False,False,,
31004,4,4,1024,0.527916865148392,0.1788286898304826,0.7518518567085266,0.9629629850387573,False,False,4160,4128,4,2,False,False,,
31004,4,6,1536,0.3518604516550118,0.13082815715547638,0.8518518805503845,0.970370352268219,False,False,6208,6176,4,2,False,False,,
31004,4,8,2048,0.18143341992224024,0.08567878521926744,0.9444444179534912,0.9740740656852722,False,False,8256,8224,4,2,False,False,,
31004,4,12,3072,0.0977151291443002,0.06836320439620593,0.9666666388511658,0.9629629850387573,False,True,12352,12320,4,2,False,True,,0.9711111187934875
31004,4,16,4096,0.0755105535752481,0.06002161890186784,0.9629629850387573,0.9666666388511658,True,True,16448,16416,4,2,True,False,0.9733333587646484,
31004,4,24,6144,0.056192303314985266,0.04887264138764507,0.9666666388511658,0.970370352268219,True,True,24640,24608,4,2,False,False,,
31005,4,2,512,0.7323720967660694,0.4612888525620457,0.40740740299224854,0.6629629731178284,False,False,2112,2080,4,2,False,False,,
31005,4,4,1024,0.5031252555011968,0.17081362367774014,0.8037037253379822,0.9444444179534912,False,False,4160,4128,4,2,False,False,,
31005,4,6,1536,0.3120398570753551,0.09188182773602371,0.8370370268821716,0.9555555582046509,False,False,6208,6176,4,2,False,False,,
31005,4,8,2048,0.1570633676957133,0.07376606887969582,0.9333333373069763,0.9481481313705444,False,False,8256,8224,4,2,False,False,,
31005,4,12,3072,0.1024581227488088,0.05375426086738561,0.9407407641410828,0.9518518447875977,False,False,12352,12320,4,2,False,False,,
31005,4,16,4096,0.06939851558609683,0.049697013705232176,0.970370352268219,0.970370352268219,True,True,16448,16416,4,2,True,True,0.9777777791023254,0.9800000190734863
31005,4,24,6144,0.04701850532247877,0.04425786403077761,0.9592592716217041,0.9740740656852722,True,True,24640,24608,4,2,False,False,,
31006,4,2,512,0.7314895477972249,0.47860635630204446,0.4592592716217041,0.5962963104248047,False,False,2112,2080,4,2,False,False,,
31006,4,4,1024,0.5051513072223526,0.17463814249833823,0.7333333492279053,0.914814829826355,False,False,4160,4128,4,2,False,False,,
31006,4,6,1536,0.35092434050526183,0.08935252285107803,0.8703703880310059,0.9592592716217041,False,False,6208,6176,4,2,False,False,,
31006,4,8,2048,0.18286077018307403,0.06986091693842802,0.9259259104728699,0.9518518447875977,False,False,8256,8224,4,2,False,False,,
31006,4,12,3072,0.09924228586795288,0.05640097301922434,0.9555555582046509,0.9592592716217041,False,True,12352,12320,4,2,False,True,,0.9711111187934875
31006,4,16,4096,0.07556883477375965,0.05299262674447905,0.9666666388511658,0.9666666388511658,True,True,16448,16416,4,2,True,False,0.9666666388511658,
31006,4,24,6144,0.05212687804838995,0.042014340046724594,0.9666666388511658,0.9777777791023254,True,True,24640,24608,4,2,False,False,,
31007,4,2,512,0.8064378234956463,0.4902758120096587,0.38148146867752075,0.6740740537643433,False,False,2112,2080,4,2,False,False,,
31007,4,4,1024,0.5362666936987075,0.16198606846292354,0.6888889074325562,0.9481481313705444,False,False,4160,4128,4,2,False,False,,
31007,4,6,1536,0.34785673926473354,0.09965438487751052,0.8814814686775208,0.9555555582046509,False,False,6208,6176,4,2,False,False,,
31007,4,8,2048,0.18103692449685096,0.07047263009670583,0.9555555582046509,0.9592592716217041,False,True,8256,8224,4,2,False,True,,0.9755555391311646
31007,4,12,3072,0.08550647623343206,0.05439188697875805,0.9592592716217041,0.9629629850387573,False,True,12352,12320,4,2,False,False,,
31007,4,16,4096,0.0752523382833784,0.04903770232077554,0.9740740656852722,0.970370352268219,True,True,16448,16416,4,2,True,False,0.9733333587646484,
31007,4,24,6144,0.06073748157021527,0.04109851255358089,0.970370352268219,0.970370352268219,True,True,24640,24608,4,2,False,False,,
