seed,bits,h,budget_params,sep_nmse,comp_nmse,sep_val_acc,comp_val_acc,sep_pass,comp_pass,sep_code_bits,comp_code_bits,sep_scales,comp_scales,selected_sep,selected_comp,sep_test_acc,comp_test_acc
31000,3,2,512,0.7760961231649758,0.5710721784232781,0.3333333432674408,0.6962962746620178,False,False,1600,1568,4,2,False,False,,
31000,3,4,1024,0.7029894387612444,0.38720239343408586,0.5740740895271301,0.9222221970558167,False,False,3136,3104,4,2,False,False,,
31000,3,6,1536,0.5061704263152383,0.24729855293914751,0.8037037253379822,0.9666666388511658,False,False,4672,4640,4,2,False,False,,
31000,3,8,2048,0.384489033140088,0.18099002510969497,0.8962963223457336,0.9629629850387573,False,False,6208,6176,4,2,False,False,,
31000,3,12,3072,0.2384063670716861,0.15158149457189257,0.9444444179534912,0.970370352268219,False,False,9280,9248,4,2,False,False,,
31000,3,16,4096,0.15305207894198125,0.15001534721553977,0.9740740656852722,0.9777777791023254,False,False,12352,12320,4,2,False,False,,
31000,3,24,6144,0.1504825487987597,0.14698074387249943,0.9777777791023254,0.9777777791023254,False,False,18496,18464,4,2,False,False,,
31001,3,2,512,0.7345010792004492,0.5147105165955309,0.48148149251937866,0.7481481432914734,False,False,1600,1568,4,2,False,False,,
31001,3,4,1024,0.7176682165735997,0.2985406933327001,0.4962962865829468,0.9333333373069763,False,False,3136,3104,4,2,False,False,,
31001,3,6,1536,0.5524922139766344,0.24851730266223204,0.7407407164573669,0.9629629850387573,False,False,4672,4640,4,2,False,False,,
31001,3,8,2048,0.3411946842163252,0.17508587230267963,0.9333333373069763,0.9592592716217041,False,False,6208,6176,4,2,False,False,,
31001,3,12,3072,0.3716691611820092,0.1351811488035638,0.9370370507240295,0.9740740656852722,False,False,9280,9248,4,2,False,False,,
31001,3,16,4096,0.22453538839602163,0.18248965425931152,0.9629629850387573,0.970370352268219,False,False,12352,12320,4,2,False,False,,
31001,3,24,6144,0.1411922207906062,0.1232030701409635,0.970370352268219,0.9777777791023254,False,False,18496,18464,4,2,False,False,,
31002,3,2,512,0.7912939022968007,0.49099139233277106,0.38148146867752075,0.6296296119689941,False,False,1600,1568,4,2,False,False,,
31002,3,4,1024,0.6547009505120129,0.2429847603531875,0.6814814805984497,0.9518518447875977,False,False,3136,3104,4,2,False,False,,
31002,3,6,1536,0.5936026360295145,0.2229636511486746,0.7925925850868225,0.9629629850387573,False,False,4672,4640,4,2,False,False,,
31002,3,8,2048,0.3773058304484022,0.16887918828863047,0.9222221970558167,0.9629629850387573,False,False,6208,6176,4,2,False,False,,
31002,3,12,3072,0.19099234742579327,0.1292888956938079,0.9555555582046509,0.9740740656852722,False,False,9280,9248,4,2,False,False,,
31002,3,16,4096,0.15486215961093422,0.1272665774540934,0.9666666388511658,0.9777777791023254,False,False,12352,12320,4,2,False,False,,
31002,3,24,6144,0.16425057366701404,0.10805244735432958,0.970370352268219,0.9740740656852722,False,False,18496,18464,4,2,False,False,,
31003,3,2,512,0.7695249588411652,0.5769403785315731,0.42222222685813904,0.5703703761100769,False,False,1600,1568,4,2,False,False,,
31003,3,4,1024,0.7388668194894353,0.35711841838494235,0.6037036776542664,0.9407407641410828,False,False,3136,3104,4,2,False,False,,
31003,3,6,1536,0.5310982682515915,0.25732887941667215,0.7555555701255798,0.9518518447875977,False,False,4672,4640,4,2,False,False,,
31003,3,8,2048,0.4660682710198016,0.1955990514278697,0.9074074029922485,0.9629629850387573,False,False,6208,6176,4,2,False,False,,
31003,3,12,3072,0.24868394602688032,0.2820203535332835,0.9444444179534912,0.9407407641410828,False,False,9280,9248,4,2,False,False,,
31003,3,16,4096,0.21172473584401497,0.19023651595783428,0.9259259104728699,0.9592592716217041,False,False,12352,12320,4,2,False,False,,
31003,3,24,6144,0.1649577073454493,0.16557928705015512,0.9592592716217041,0.9629629850387573,False,False,18496,18464,4,2,False,False,,
31004,3,2,512,0.7603444162588395,0.6575477549815663,0.5222222208976746,0.7407407164573669,False,False,1600,1568,4,2,False,False,,
31004,3,4,1024,0.6523733371500186,0.36165502368854907,0.729629635810852,0.9296296238899231,False,False,3136,3104,4,2,False,False,,
31004,3,6,1536,0.7772866112397937,0.3602550113298633,0.7555555701255798,0.9481481313705444,False,False,4672,4640,4,2,False,False,,
31004,3,8,2048,0.7084739133933008,0.220312752991166,0.8444444537162781,0.9481481313705444,False,False,6208,6176,4,2,False,False,,
31004,3,12,3072,0.2042579390871848,0.15584711561541117,0.9333333373069763,0.9592592716217041,False,False,9280,9248,4,2,False,False,,
31004,3,16,4096,0.21273034675488386,0.13915893857645392,0.9518518447875977,0.970370352268219,False,False,12352,12320,4,2,False,False,,
31004,3,24,6144,0.1617213049676948,0.1468508228303088,0.9592592716217041,0.970370352268219,False,False,18496,18464,4,2,False,False,,
31005,3,2,512,0.7593932271058274,0.5725436425336926,0.3629629611968994,0.6555555462837219,False,False,1600,1568,4,2,False,False,,
31005,3,4,1024,0.5811944897028664,0.36713270134264786,0.7629629373550415,0.9370370507240295,False,False,3136,3104,4,2,False,False,,
31005,3,6,1536,0.5482924364386293,0.20641277926379364,0.8518518805503845,0.9370370507240295,False,False,4672,4640,4,2,False,False,,
