output_share_group,bytes,mean_utility,u_lo,u_hi,pass_rate,n
1,76.0,0.9831236546266788,0.9622844995174986,1.004691067638498,0.75,8
8,44.5,0.9914813022542163,0.96364996123341,1.0184205062903209,0.875,8
