output_share_group,bytes,pattern_bits,mean_utility,u_lo,u_hi,pass_rate,n
1,76.0,288,0.9827752818149987,0.9636502410553728,1.003061132180309,0.875,8
2,58.0,144,0.9747924003440642,0.942820640529526,1.0005245334584276,0.75,8
4,49.0,72,0.9710540824897662,0.9428574276025645,0.9960422332956621,0.75,8
8,44.5,36,0.9817136134044353,0.9577315238370765,1.0097849569669466,0.875,8
